Address,Price,Currency,Link,Property Type,Rooms_count,Floor,Area,City,Neighborhood,Tags1,Tags2,Tags3
בית אל 4,1690000,NIS,https://www.yad2.co.il/realestate/item/zc10g3fh?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=1,דירה,5,3.0,100.0,חיפה,רמת התשבי,3 כיווני אוויר,נוף פתוח לים,יחידת הורים
שמעון פרס 1,1590000,NIS,https://www.yad2.co.il/realestate/item/kpo6zdc0?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=1,דירה,3,7.0,84.0,קרית מלאכי,המחנה הצבאי,"ממ""ד",נוף פתוח לעיר,חניה
פיקוס 7,3200000,NIS,https://www.yad2.co.il/realestate/item/hrjsrg32?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=1,דירה,4,5.0,104.0,יפו ג',נווה גולן,"ממ""ד",חניה,חדש מקבלן
דרך עכו חיפה 20,1550000,NIS,https://www.yad2.co.il/realestate/item/mf80ll2b?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1,דופלקס,5,,120.0,סביניה,מרכז העיר,נוף פתוח לעיר,חניה,בהזדמנות
יהודה הלוי 13,890000,NIS,https://www.yad2.co.il/realestate/item/sfnfjuv8?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=1,דירת גן,4,1.0,120.0,קרית ים,קרית ים ג',בניין משופץ,חבל לפספס,בהזדמנות
נירים 24,2980000,NIS,https://www.yad2.co.il/realestate/item/0wr3m9sf?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=1,בית פרטי/ קוטג',5,,385.0,אופקים,הפארק,"ממ""ד",3 כיווני אוויר,חניה
דוד רזניק 2,2300000,NIS,https://www.yad2.co.il/realestate/item/a4qpvdb2?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=1,דירה,5,3.0,97.0,נתניה,גלי הים,"ממ""ד",נוף פתוח לפארק,חניה
צאלה 42,2290000,NIS,https://www.yad2.co.il/realestate/item/c5stbce1?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=1,דירת גן,3,2.0,150.0,גדרה,גדרה הצעירה,"ממ""ד",נוף פתוח לפארק,חניה
הגדוד העברי 53,4500000,NIS,https://www.yad2.co.il/realestate/item/gftucqri?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=1,גג/ פנטהאוז,3,6.0,110.0,תל אביב יפו,נווה שאנן,"ממ""ד",3 כיווני אוויר,חניה
שדרות דוד בן גוריון 5,2700000,NIS,https://www.yad2.co.il/realestate/item/j13q5fzz?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=1,גג/ פנטהאוז,5,4.0,140.0,אשקלון,הסיטי,2 מרפסות,נוף פתוח לים,חניה
אהרונסון 4,2990000,NIS,https://www.yad2.co.il/realestate/item/wabpjouk?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=1,דירת גן,5,1.0,230.0,חיפה,רמת גולדה,2 מרפסות,3 כיווני אוויר,חניה
כסלו 1,2850000,NIS,https://www.yad2.co.il/realestate/item/m1danhly?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=1,דירה,3,2.0,98.0,מודיעין מכבים רעות,הכרמים,2 מרפסות,"ממ""ד",חניה
מרק חסמן 5,3200000,NIS,https://www.yad2.co.il/realestate/item/t93gc54e?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=1,בית פרטי/ קוטג',5,,400.0,באר שבע,נווה מנחם,"ממ""ד",נוף פתוח לפארק,בניין משופץ
דיזנגוף 106,2000000,NIS,https://www.yad2.co.il/realestate/item/iljbw8me?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=1,דירת גן,5,,50.0,תל אביב יפו,הצפון הישן - דרום,ייחודי,חבל לפספס,בהזדמנות
בני יהודה 14,1150000,NIS,,מגרשים,5,,500.0,קצרין,רובע 11,4 כיווני אוויר,נוף פתוח לים,חדש מקבלן
שביט 1,2320000,NIS,https://www.yad2.co.il/realestate/item/95ugzfgg?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=1,דירה,3,1.0,110.0,באר יעקב,כוכב הצפון,2 מרפסות,"ממ""ד",חניה
מוטה גור 7,5290000,NIS,https://www.yad2.co.il/realestate/item/h6omyiu2?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=1,דירה,5,4.0,141.0,הרצליה,גליל ים (מתחם הכוכבים),3 חדרי מקלחת,"ממ""ד",חניה
המעפילים 12,11250000,NIS,https://www.yad2.co.il/realestate/item/rz7t3nzo?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=1,בית פרטי/ קוטג',4,,750.0,כפר סבא,פועלים ב,2 מרפסות,4 כיווני אוויר,חניה
רבי יהודה הנשיא 53,2500000,NIS,https://www.yad2.co.il/realestate/item/une7fio0?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=1,דירה,4,3.0,104.0,פתח תקווה,הדר גנים,"ממ""ד",חניה,נכס עורפי
"הפלמ""ח 1",1600000,NIS,https://www.yad2.co.il/realestate/item/hglrylhd?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=1,דירה,4,5.0,116.0,סביניה,מרכז העיר,חניה,חבל לפספס,בהזדמנות
עפרה חזה 5,4490000,NIS,https://www.yad2.co.il/realestate/item/iw2q15a2?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=2,דירה,5,9.0,140.0,פארק הים,דרום חדש,3 חדרי מקלחת,4 כיווני אוויר,חדש מקבלן
נורדאו 14,11000000,NIS,https://www.yad2.co.il/realestate/item/o4u6ckqn?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=2,גג/ פנטהאוז,5,3.0,290.0,הרצליה,הרצליה ב',3 חדרי מקלחת,3 כיווני אוויר,חדש מקבלן
אליהו הנביא 46,3850000,NIS,https://www.yad2.co.il/realestate/item/7b3w08dr?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=2,דירת גן,5,,254.0,ראש העין,פסגות אפק,3 חדרי מקלחת,3 כיווני אוויר,חניה
קיבוץ גלויות 72,790000,NIS,https://www.yad2.co.il/realestate/item/ully96n3?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=2,דירה,3,4.0,65.0,אופקים,יעקב מסיקה,נוף פתוח לפארק,חניה,בהזדמנות
שיבת ציון 40,1360000,NIS,https://www.yad2.co.il/realestate/item/d5m4eez7?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=2,דירה,4,2.0,100.0,ואדי סאליב,העיר התחתית,ייחודי,חבל לפספס,בהזדמנות
חניון בית אלפא 1,4650000,NIS,https://www.yad2.co.il/realestate/item/vllsmurf?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=2,בית פרטי/ קוטג',5,1.0,481.0,חפצי בה,חפצי בה,3 מרפסות,4 כיווני אוויר,חניה
עפרה חזה 6,2350000,NIS,https://www.yad2.co.il/realestate/item/g45xoxqf?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=2,דירה,5,17.0,140.0,קרית מוצקין,משכנות האומנים,2 מרפסות,3 כיווני אוויר,חניה
"צה""ל 6",1899900,NIS,https://www.yad2.co.il/realestate/item/dpz60ftf?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=2,גג/ פנטהאוז,5,3.0,188.0,בית שאן,קרית רבין,"ממ""ד",3 כיווני אוויר,חניה
הורד 14,4560000,NIS,https://www.yad2.co.il/realestate/item/1zhtkl22?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=2,דו משפחתי,6,,350.0,גן יבנה,נאות הפרחים,3 כיווני אוויר,חניה,יחידת הורים
"ש""י עגנון 4",2470000,NIS,https://www.yad2.co.il/realestate/item/0vtfe0gu?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=2,דירה,4,6.0,115.0,קרית מוצקין,משכנות האומנים,"ממ""ד",4 כיווני אוויר,חניה
