Address,Price,Currency,Link,Property Type,Rooms_count,Floor,Area,City,Neighborhood,Tags1,Tags2,Tags3
טורא 8,17800000,NIS,https://www.yad2.co.il/realestate/item/4jsyjtbr?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=1,בית פרטי/ קוטג',5,,273,ירושלים,ימין משה,נוף פתוח לעיר,יחידת הורים,מטבח גדול
בר אילן 24,3700000,NIS,https://www.yad2.co.il/realestate/item/d1wuf7nj?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=1,דירה,5,3,110,רעננה,נווה דוד רמז,"ממ""ד",חבל לפספס,בהזדמנות
דרך הנדיב 1,239000,NIS,,מגרשים,5,,250,פרדס חנה כרכור,פרחי הדר,חדש מקבלן,חבל לפספס,בהזדמנות
שוהם 40,1750000,NIS,https://www.yad2.co.il/realestate/item/lhzje259?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1,דירה,5,10,110,חריש,אבני חן,"ממ""ד",נוף פתוח לפארק,חניה
שדרות משה סנה 1,239000,NIS,,מגרשים,5,,150,אשדוד,שאר העיר,חדש מקבלן,חבל לפספס,בהזדמנות
משה לוי 11,2395000,NIS,https://www.yad2.co.il/realestate/item/0psr0kex?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=1,דירה,4,17,124,רמלה,נאות שמיר,"ממ""ד",נוף פתוח לעיר,חניה
653 1,239000,NIS,,מגרשים,4,,1000,בנימינה גבעת עדה,שאר העיר,חדש מקבלן,חבל לפספס,בהזדמנות
קצרין 16,4150000,NIS,https://www.yad2.co.il/realestate/item/bg5zv39v?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=1,בית פרטי/ קוטג',7,,346,אשקלון,ברנע,3 מרפסות,4 כיווני אוויר,חניה
הכרמל 1,2280000,NIS,https://www.yad2.co.il/realestate/item/0e4k9map?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=1,דירה,3,8,97,יבנה,"נאות שז""ר","ממ""ד",נוף פתוח לפארק,חניה
שבט 28,1890000,NIS,https://www.yad2.co.il/realestate/item/brfm69ta?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=1,דירה,4,1,90,הארגזים,עזרא,3 כיווני אוויר,נכס עורפי,בניין משופץ
שבדיה 59,5750000,NIS,https://www.yad2.co.il/realestate/item/pt4fqvdp?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=1,בית פרטי/ קוטג',6,,320,דניה,הוד הכרמל,3 חדרי מקלחת,"ממ""ד",3 כיווני אוויר
